"id","s1","s2","s3","s4"
"10",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"100",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"105",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"11",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"115",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"12",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"125",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"13",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"135",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"14",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"145",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"15",1.53333333333333,1.4,1.73333333333333,1.73333333333333
"20",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"25",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"30",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"35",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"40",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"45",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"5",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"50",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"55",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"60",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"65",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"70",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"75",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"80",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"85",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"90",0.766666666666667,0.7,0.866666666666667,0.866666666666667
"95",0.766666666666667,0.7,0.866666666666667,0.866666666666667
