"id","s1","s2","s3","s5"
"1",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"10",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"11",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"12",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"13",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"14",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"15",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"16",0.9,0.933333333333333,0.766666666666667,0.866666666666667
"17",0.9,0.933333333333333,0.766666666666667,0.866666666666667
"18",0.9,0.933333333333333,0.766666666666667,0.866666666666667
"19",0.9,0.933333333333333,0.766666666666667,0.866666666666667
"2",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"20",0.9,0.933333333333333,0.766666666666667,0.866666666666667
"21",0.9,0.933333333333333,0.766666666666667,0.866666666666667
"22",0.9,0.933333333333333,0.766666666666667,0.866666666666667
"23",0.9,0.933333333333333,0.766666666666667,0.866666666666667
"24",0.9,0.9,0.766666666666667,0.855555555555556
"25",0.9,0.9,0.766666666666667,0.855555555555556
"26",0.866666666666667,0.9,0.733333333333333,0.833333333333333
"27",0.866666666666667,0.9,0.733333333333333,0.833333333333333
"28",0.866666666666667,0.9,0.733333333333333,0.833333333333333
"29",0.866666666666667,0.9,0.733333333333333,0.833333333333333
"3",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"30",0.866666666666667,0.9,0.733333333333333,0.833333333333333
"31",0.866666666666667,0.9,0.733333333333333,0.833333333333333
"32",0.866666666666667,0.9,0.733333333333333,0.833333333333333
"33",0.833333333333333,0.9,0.7,0.811111111111111
"34",0.833333333333333,0.9,0.7,0.811111111111111
"35",0.833333333333333,0.866666666666667,0.7,0.8
"36",0.833333333333333,0.866666666666667,0.7,0.8
"37",0.8,0.866666666666667,0.7,0.788888888888889
"38",0.8,0.866666666666667,0.666666666666667,0.777777777777778
"39",0.8,0.866666666666667,0.666666666666667,0.777777777777778
"4",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"40",0.766666666666667,0.833333333333333,0.666666666666667,0.755555555555556
"41",0.766666666666667,0.833333333333333,0.666666666666667,0.755555555555556
"42",0.766666666666667,0.833333333333333,0.633333333333333,0.744444444444444
"43",0.733333333333333,0.8,0.633333333333333,0.722222222222222
"44",0.733333333333333,0.8,0.6,0.711111111111111
"45",0.7,0.8,0.6,0.7
"46",0.666666666666667,0.766666666666667,0.566666666666667,0.666666666666667
"47",0.633333333333333,0.733333333333333,0.533333333333333,0.633333333333333
"48",0.566666666666667,0.7,0.5,0.588888888888889
"49",0.466666666666667,0.6,0.4,0.488888888888889
"5",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"6",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"7",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"8",0.933333333333333,0.933333333333333,0.8,0.888888888888889
"9",0.933333333333333,0.933333333333333,0.8,0.888888888888889
