sci_name,comm_name,name_label,year,catch_mt,
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1960,0.364125836,
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1961,0.364125836,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1962,0.364125836,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1963,0.364125836,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1964,0.364125836,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1965,0.751369973,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1966,0.751369973,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1967,0.766087221,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1968,0.766087221,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1969,0.766087221,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1970,0.686815771,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1971,0.686815771,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1972,0.686815771,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1973,0.686815771,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1974,0.686815771,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1975,0.687729462,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1976,0.780193662,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1977,1.191258109,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1978,2.133282046,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1979,2.335773046,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1980,2.72159954,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1981,2.856030561,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1982,3.004671522,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1983,8.848007712,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1984,9.300697896,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1985,10.59846969,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1986,10.81476499,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1987,11.24735559,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1988,12.11253679,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1989,12.11253679,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1990,12.11253679,1
Acanthocybium solandri,Wahoo,"Wahoo
(Acanthocybium solandri)",1991,36.50615715,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1950,2.986270007,-69
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1951,3.041149182,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1952,3.09424005,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1953,3.145542609,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1954,3.338323615,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1955,3.242782802,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1956,3.431987192,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1957,3.332869761,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1958,3.518497535,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1959,39.26781821,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1960,179.3215967,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1961,199.3465719,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1962,219.9337553,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1963,175.862038,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1964,134.1826644,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1965,3.681119512,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1966,3.720561929,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1967,3.75792202,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1968,3.936466541,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1969,3.826395222,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1970,3.857508333,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1971,3.860462923,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1972,3.718722082,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1973,3.718102991,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1974,3.804164282,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1975,3.842951538,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1976,3.975940679,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1977,4.213581753,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1978,4.112379874,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1979,3.988322515,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1980,4.063683832,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1981,3.999937002,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1982,4.11193684,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1983,4.252202862,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1984,4.048873561,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1985,4.05816105,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1986,4.177882421,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1987,4.231061094,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1988,4.178720083,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1989,191.7879884,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1990,667.8029546,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1991,3.951777655,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1992,3.853751444,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1993,3.754442909,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1994,3.651440799,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1995,3.636178973,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1996,3.835069274,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1997,3.417941646,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1998,3.307566478,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",1999,3.193876718,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2000,2.91387628,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2001,4.074612292,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2002,5.250897215,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2003,6.251044149,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2004,7.138486514,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2005,7.970123105,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2006,8.686483753,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2007,9.282243816,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2008,9.403499319,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2009,10.2432293,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2010,11.17198824,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2011,12.04799827,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2012,12.89952588,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2013,13.72175139,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2014,14.5096145,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2015,15.2658911,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2016,15.96030686,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2017,16.61143055,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2018,17.20466258,1
Scomberomorus cavalla,King mackerel,"King mackerel
(Scomberomorus cavalla)",2019,17.56861966,1
