"sci_name","comm_name","name_label","catch_mt_avg","value_usd_avg","value_mt","value_pound"
"Ocyurus chrysurus","Yellowtail snapper","Yellowtail snapper
(Ocyurus chrysurus)",590.752697044727,1660781.96099586,2811.29814439106,1.28
"Lutjanus analis","Mutton snapper","Mutton snapper
(Lutjanus analis)",529.178867555466,1370682.37900577,2590.20619122154,1.17
"Lutjanus synagris","Lane snapper","Lane snapper
(Lutjanus synagris)",324.221435434866,675342.138256171,2082.96572788397,0.94
"Caranx hippos","Crevalle jack","Crevalle jack
(Caranx hippos)",218.852506447244,114862.943545771,524.841800582529,0.24
"Sphyraena barracuda","Great barracuda","Great barracuda
(Sphyraena barracuda)",135.34045454853,322254.112622443,2381.06273321913,1.08
"Haemulon sciurus","Bluestriped grunt","Bluestriped grunt
(Haemulon sciurus)",96.4920883329286,20240.7289601453,209.765684522323,0.1
"Lutjanus purpureus","Southern red snapper","Southern red snapper
(Lutjanus purpureus)",56.5398174341048,136476.487531603,2413.81195987521,1.09
"Lutjanus vivanus","Silk snapper","Silk snapper
(Lutjanus vivanus)",51.3608534339278,28083.4901441196,546.78784067027,0.25
"Epinephelus striatus","Nassau grouper","Nassau grouper
(Epinephelus striatus)",44.9054625254286,49315.5761808905,1098.20884603882,0.5
"Lutjanus griseus","Grey snapper","Grey snapper
(Lutjanus griseus)",41.2351962385257,94340.3948811694,2287.86094130499,1.04
"Gerres cinereus","Yellow fin mojarra","Yellow fin mojarra
(Gerres cinereus)",39.6026116897357,45241.3653138491,1142.38337785119,0.52
"Haemulon plumierii","White grunt","White grunt
(Haemulon plumierii)",36.9424512499158,68977.4025497311,1867.15824792185,0.85
"Lutjanus jocu","Dog snapper","Dog snapper
(Lutjanus jocu)",36.7629881479486,79944.7124083484,2174.59777988176,0.99
"Centropomus undecimalis","Common snook","Common snook
(Centropomus undecimalis)",34.0229803733843,82330.0950345699,2419.83783110828,1.1
"Scomberomorus cavalla","King mackerel","King mackerel
(Scomberomorus cavalla)",31.1793205951514,44855.1536080851,1438.61869828749,0.65
"Lachnolaimus maximus","Hogfish","Hogfish
(Lachnolaimus maximus)",26.1430850312571,13616.6924193031,520.852546783317,0.24
"Thunnus albacares","Yellowfin tuna","Yellowfin tuna
(Thunnus albacares)",23.4277776709,49928.1233127508,2131.1506372526,0.97
"Lutjanus apodus","Schoolmaster snapper","Schoolmaster snapper
(Lutjanus apodus)",23.0601846101105,43057.0138933688,1867.15824792187,0.85
"Rachycentron canadum","Cobia","Cobia
(Rachycentron canadum)",22.2027430884843,34808.2720817833,1567.74646912151,0.71
"Epinephelus itajara","Atlantic goliath grouper","Atlantic goliath grouper
(Epinephelus itajara)",19.72896359131,34522.1194673841,1749.81920908354,0.79
"Seriola dumerili","Greater amberjack","Greater amberjack
(Seriola dumerili)",19.6872553753737,36759.2212530762,1867.15824792203,0.85
"Epinephelus guttatus","Red hind","Red hind
(Epinephelus guttatus)",13.48344398639,25810.1059247594,1914.20722708618,0.87
"Mycteroperca bonaci","Black grouper","Black grouper
(Mycteroperca bonaci)",6.28079322039571,15064.5022322593,2398.50313545431,1.09
"Acanthocybium solandri","Wahoo","Wahoo
(Acanthocybium solandri)",4.63810346890625,21865.2909075479,4714.27406786682,2.14
"Coryphaena hippurus","Common dolphinfish","Common dolphinfish
(Coryphaena hippurus)",2.47082536499091,11901.1777218905,4816.68105343183,2.18
